Species,order,family,Percent.UVA.Transmitted,50.T.nm,VA,Acuity.Type,Rel.Cornea,AD,AP,Haplorhine,CD
Bos_taurus,Artiodactyla,Bovidae,22.1,384,10.4,A,0.73,30.78,C,N,25.213
Bubalus_depressicornis,Artiodactyla,Bovidae,0.6,478,,,,,C,N,
Okapia_johnstoni,Artiodactyla,Giraffidae,53.4,355,,,0.734317343,27.1,D,N,19.9
Oryx_leucoryx,Artiodactyla,Bovidae,8.5,400,,,,,C,N,
Ovis_aries,Artiodactyla,Bovidae,15.2,393,20,A,0.72,30,C,N,20.33
Pudu_puda,Artiodactyla,Cervidae,25,386,,,,,C,N,
Rangifer_tarandus,Artiodactyla,Cervidae,26.5,384,,,,30,C,N,
Sus_scrofa,Artiodactyla,Suidae,43.6,375,9.92,A,0.71,24.8,C,N,15.305
Tragulus_javanicus,Artiodactyla,Tragulidae,12.4,403,,,0.831578947,19,N,N,15.8
Vicugna_pacos,Artiodactyla,Camelidae,6,405,13.4,A,0.74,35.3,D,N,26.2
Ailurus_fulgens,Carnivora,Ailuridae,30.2,386,,,0.769230769,13,C,N,10
Canis_lupus,Carnivora,Canidae,61.3,335,14.57,A,0.76,22.28,C,N,18
Felis_catus,Carnivora,Felidae,58.9,345,8.85,B,0.75,21.94,C,N,16.8
Mustela_putorius,Carnivora,Mustelidae,56.1,344,3.57,B,,7.5,C,N,
Suricata_suricatta,Carnivora,Herpestidae,1.7,428,6.3,B,0.57,10.5,D,N,6
Pteropus_livingstonii,Chiroptera,Pteropodidae,60.8,377,,,,,C,N,
Pteropus_rodricensis,Chiroptera,Pteropodidae,28.1,388,,,,,N,N,
Erinaceus_europaeus,Erinaceomorpha,Erinaceidae,65.5,326,,,,7.2,N,N,
Oryctolagus_cuniculus,Lagomorpha,Leporidae,12.7,392,6.25,A,0.78,16.64,C,N,15
Equus_caballus,Perissodactyla,Equidae,4.6,416,23.3,B,0.71,42,C,N,29.9
Ateles_paniscus,Primates,Atelidae,0.4,438,,,0.518716578,18.7,D,Y,9.7
Callithrix_jacchus,Primates,Callitrichidae,0.9,427,30,A,0.522123894,11.3,D,Y,5.9
Hapalemur_alaotrensis,Primates,Lemuridae,0.3,425,,,0.702898551,13.8,C,N,9.7
Lemur_catta,Primates,Lemuridae,2,425,6.7,B,0.769230769,15.6,C,N,12
Leontopithecus_rosalia,Primates,Callitrichidae,0.4,441,,,0.589285714,11.2,D,Y,6.6
Macaca_fascicularis,Primates,Cercopithecidae,0.5,424,46,B,0.52173913,18.4,D,Y,9.6
Saimiri_sciureus,Primates,Cebidae,2.8,420,40.5,B,0.503225806,15.5,D,Y,7.8
Sapajus_apella,Primates,Cebidae,0,426,54.75,A,0.548,15.05,D,Y,8.98
Cavia_porcellus,Rodentia,Caviidae,34.6,377,1.65,B,0.78,10,C,N,7.8
Cynomys_ludovicianus,Rodentia,Sciuridae,0,463,,,,,D,N,
Dasyprocta_punctata,Rodentia,Dasyproctidae,15,406,6.21,A,0.779816514,15.68,D,N,8.5
Glaucomys_volans,Rodentia,Sciuridae,29.3,423,,,0.939759036,8.3,N,N,7.8
Mus_musculus,Rodentia,Muridae,81.4,325,0.5,B,0.91,3.4,N,N,3.1
Rattus_norvegicus,Rodentia,Muridae,55.8,339,1.6,B,0.85,6,N,N,5.1
Rattus_rattus,Rodentia,Muridae,80.5,344.5,,,0.936507937,6.3,N,N,5.9
Sciurus_carolinensis,Rodentia,Sciuridae,0,441,3.9,B,0.771186441,11.8,D,N,9.1
Urocitellus_richardsonii,Rodentia,Sciuridae,0.6,462,,,,,D,N,
Tupaia_glis,Scandentia,Tupaiidae,0.3,435,4.7,B,0.896551724,8.7,D,N,7.8